joint_value_FR_Thigh,accel_x,accel_y,accel_z,foot_force,"Label (stand : 1, Sit : 0)"
-0.675986899,0.459687,-0.0837971,9.34577,25,1
-0.651630324,0.407014,0.0658405,9.27633,25,1
-0.691783462,0.407014,0.0658405,9.27633,25,1
-0.663738913,0.407014,0.0658405,9.27633,25,1
-0.677348039,0.366313,0.023942,9.13268,25,1
-0.68945069,0.366313,0.023942,9.13268,25,1
-0.694745432,0.356736,-0.0837971,9.15184,25,1
-0.694473893,0.356736,-0.0837971,9.15184,25,1
-0.679098224,0.356736,-0.0837971,9.15184,25,1
-0.667055776,0.320823,0.0023942,9.2476,25,1
-0.655075727,0.320823,0.0023942,9.2476,25,1
-0.654135248,0.307655,-0.142455,9.31344,25,1
-0.69656595,0.307655,-0.142455,9.31344,25,1
-0.686956141,0.307655,-0.142455,9.31344,26,1
-0.681763702,0.305261,-0.0011971,9.28352,26,1
-0.697962071,0.305261,-0.0011971,9.28352,26,1
-0.68299726,0.305261,-0.0011971,9.28352,26,1
-0.698672084,0.277727,0.0263362,9.41999,26,1
-0.666989871,0.277727,0.0263362,9.41999,26,1
-0.658411909,0.35913,0.0371101,9.38048,26,1
-0.666425343,0.35913,0.0371101,9.38048,26,1
-0.680300787,0.371101,-0.0861913,9.25957,26,1
-0.681288376,0.371101,-0.0861913,9.25957,26,1
-0.654359526,0.371101,-0.0861913,9.25957,26,1
-0.675613939,0.37589,0.0407014,9.12191,26,1
-0.685115082,0.37589,0.0407014,9.12191,26,1
-0.695625987,0.333991,0.0933739,9.20571,26,1
-0.686489199,0.333991,0.0933739,9.20571,26,1
-0.670689236,0.333991,0.0933739,9.20571,26,1
-0.661057231,0.381875,0.0407014,9.2093,26,1
-0.654158792,0.381875,0.0407014,9.2093,26,1
-0.680477215,0.381875,0.0407014,9.2093,26,1
-0.694360017,0.298078,-0.0730232,9.30746,26,1
-0.674680698,0.298078,-0.0730232,9.30746,26,1
-0.675301665,0.292093,-0.0526724,9.25,26,1
-0.665803973,0.292093,-0.0526724,9.25,26,1
-0.692777012,0.387861,-0.059855,8.88488,26,1
-0.678031194,0.387861,-0.059855,8.88488,26,1
-0.665246011,0.387861,-0.059855,8.88488,25,1
-0.668481098,0.439336,0.0023942,8.51618,25,1
-0.675317111,0.439336,0.0023942,8.51618,25,1
-0.665940024,0.551863,0.0011971,8.23965,25,1
-0.689422162,0.551863,0.0011971,8.23965,24,1
-0.680541515,0.551863,0.0011971,8.23965,24,1
-0.651077342,0.642843,0.0586579,8.00621,24,1
-0.669487442,0.642843,0.0586579,8.00621,24,1
-0.650998694,0.642843,0.0586579,8.00621,24,1
-0.699047115,0.707487,-0.0861913,7.57047,24,1
-0.696911851,0.707487,-0.0861913,7.57047,22,1
-0.678243155,0.703895,-0.179565,7.46871,22,1
-0.69272395,0.703895,-0.179565,7.46871,22,1
-0.684014721,0.626084,-0.17358,7.41365,22,1
-0.657990923,0.626084,-0.17358,7.41365,22,1
-0.681214851,0.626084,-0.17358,7.41365,22,1
-0.667473837,0.684742,-0.184354,7.42681,22,1
-0.676248918,0.684742,-0.184354,7.42681,22,1
-0.667850399,0.602142,-0.116119,7.56448,22,1
-0.666609768,0.602142,-0.116119,7.56448,22,1
-0.686394657,0.602142,-0.116119,7.56448,22,1
-0.678231127,0.505177,-0.105345,7.75003,23,1
-0.682144491,0.505177,-0.105345,7.75003,23,1
-0.661525183,0.454898,-0.219069,7.97509,23,1
-0.671381143,0.454898,-0.219069,7.97509,23,1
-0.651412095,0.454898,-0.219069,7.97509,23,1
-0.673867409,0.472855,-0.201113,8.08402,23,1
-0.664576774,0.472855,-0.201113,8.08402,23,1
-0.651108815,0.40462,-0.0466869,8.15226,24,1
-0.699531925,0.40462,-0.0466869,8.15226,24,1
-0.670281124,0.40462,-0.0466869,8.15226,24,1
-0.674770562,0.363919,-0.0969652,8.31985,25,1
-0.666300014,0.363919,-0.0969652,8.31985,25,1
-0.650085609,0.399832,-0.0454898,8.42759,25,1
-0.66761558,0.399832,-0.0454898,8.42759,25,1
-0.653758591,0.399832,-0.0454898,8.42759,25,1
-0.667718595,0.383072,-0.0873884,8.5078,25,1
-0.655246481,0.383072,-0.0873884,8.5078,25,1
-0.658632309,0.349553,-0.0802058,8.68856,26,1
-0.690990602,0.349553,-0.0802058,8.68856,26,1
-0.690400881,0.349553,-0.0802058,8.68856,26,1
-0.656072654,0.332794,-0.102951,8.69335,26,1
-0.657652758,0.332794,-0.102951,8.69335,26,1
-0.692322997,0.336385,-0.0227449,8.73524,26,1
-0.674440145,0.336385,-0.0227449,8.73524,26,1
-0.673319914,0.336385,-0.0227449,8.73524,26,1
-0.672661385,0.345962,0.0335188,8.71609,26,1
-0.656805024,0.345962,0.0335188,8.71609,26,1
-0.682674589,0.295684,0.0107739,8.80947,26,1
-0.681747296,0.295684,0.0107739,8.80947,26,1
-0.698511599,0.295684,0.0107739,8.80947,26,1
-0.687606741,0.278924,-0.0299275,8.8358,26,1
-0.697920331,0.278924,-0.0299275,8.8358,26,1
-0.686262114,0.278924,-0.0299275,8.8358,26,1
-0.674918456,0.271742,-0.160412,8.82024,26,1
-0.671793539,0.271742,-0.160412,8.82024,26,1
-0.674748149,0.235829,-0.148441,8.80468,27,1
